Regulation (verbatim or exact CFR language/excerpt),Source
21 CFR § 886.3600(a): An intraocular lens (IOL) is an implanted device intended to replace the natural lens of the eye.,https://www.ecfr.gov/current/title-21/part-886/section-886.3600
21 CFR § 886.3600(b): Classification—Class III (premarket approval required).,https://www.ecfr.gov/current/title-21/part-886/section-886.3600
21 CFR § 886.3600(c): A PMA under section 515 of the act is required before this device may be commercially distributed.,https://www.ecfr.gov/current/title-21/part-886/section-886.3600
"21 CFR § 801.1(a): The label of a device must specify conspicuously the name and place of business of the manufacturer, packer, or distributor.",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801
21 CFR § 801.5: Adequate directions for use means directions under which a layman can use a device safely and for the purposes intended.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-A/section-801.5
21 CFR § 801.15(a): Required label information must have sufficient prominence and conspicuousness as required by section 502(c) of the act.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-A/section-801.15
"21 CFR § 801.18(a): Dates on device labels must be formatted as YYYY-MM-DD (e.g., 2025-06-01).",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-A/section-801.18
"21 CFR § 801.109(c)-(d): Prescription devices—labeling on the dispensing package shall include indications, hazards, contraindications, side effects, and precautions.",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-D/section-801.109
21 CFR § 801.20(a)(1): Device labels and packages must bear a unique device identifier (UDI) meeting requirements under Part 830.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-B/section-801.20
21 CFR § 801.45(a): Devices intended for more than one use and reprocessed before each use must bear a permanent UDI marking.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801/subpart-B/section-801.45
21 CFR Part 830 § 830.310: Labelers must submit device identifier information for each version or model to the Global Unique Device Identification Database (GUDID).,https://www.law.cornell.edu/cfr/text/21/830.310
"FDA UDI Rule (Final Guidance 2023): Requires permanent marking and GUDID entry for all Class III devices, including intraocular lenses.",https://www.fda.gov/medical-devices/unique-device-identification-system-udi-system
21 CFR § 814.20(a): A PMA must contain sufficient valid scientific evidence to provide reasonable assurance of the safety and effectiveness of the device.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-814/section-814.20
"21 CFR § 814.39(a): PMA supplement required for any change affecting the safety or effectiveness of the device, such as material, design, or manufacturing method.",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-814/section-814.39
21 CFR § 814.80: Promotional materials for Class III devices must not be disseminated prior to FDA approval of the PMA.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-814/section-814.80
21 CFR § 820.30(a): Each manufacturer of a Class III device must establish and maintain procedures to control the design of the device to ensure specified requirements are met.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-820/section-820.30
"21 CFR § 820.70(a): Each manufacturer shall develop, conduct, control, and monitor production processes to ensure devices conform to specifications.",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-820/section-820.70
21 CFR § 820.100(a): Corrective and preventive action procedures must be established to identify and eliminate recurring quality problems.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-820/section-820.100
"21 CFR § 803.50(a): Manufacturers must report to FDA within 30 days any information suggesting a device caused or contributed to a death or serious injury, or malfunctioned in a manner that could recur.",https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-803/section-803.50
21 CFR § 822.3: Postmarket surveillance requirements apply to certain Class III devices when requested by FDA.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-822/section-822.3
21 CFR § 806.10(a): Manufacturers and importers must report certain corrections and removals to FDA within 10 working days if initiated to reduce a risk to health.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-806/section-806.10
21 CFR § 821.1(a): Manufacturers must adopt a method for tracking certain Class III devices to ensure that necessary information can be rapidly retrieved if safety concerns arise.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-821/section-821.1
21 CFR § 801.150(e): Devices labeled sterile must meet sterility assurance levels validated by accepted methods.,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-H/part-801
"FDA Guidance (2020): Labeling for intraocular lenses must include lens model, diopter power, material composition, and warnings regarding potential complications such as glare, halos, and reduced contrast sensitivity.",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/intraocular-lens-labeling-guidance-industry-and-fda-staff
