Regulation (verbatim or official excerpt),Source
"15 U.S.C. § 45(a)(1): Unfair methods of competition in or affecting commerce, and unfair or deceptive acts or practices in or affecting commerce, are declared unlawful.",https://www.law.cornell.edu/uscode/text/15/45
"15 U.S.C. § 52(a): It shall be unlawful to disseminate or cause to be disseminated any false advertisement for the purpose of inducing, or which is likely to induce, directly or indirectly, the purchase of food, drugs, devices, services, or cosmetics.",https://www.law.cornell.edu/uscode/text/15/52
"15 U.S.C. § 55(a)(1): Defines “false advertisement” as an advertisement that is misleading in a material respect, considering representations made or suggested and material omissions.",https://www.law.cornell.edu/uscode/text/15/55
"15 U.S.C. § 54: Provides for injunctions against false advertisements of food, drugs, devices, or cosmetics that are misleading in a material respect.",https://www.law.cornell.edu/uscode/text/15/54
FTC Health Products Compliance Guidance (2022): Advertisers must possess competent and reliable scientific evidence substantiating claims that a health-related product will provide the advertised benefit.,https://www.ftc.gov/business-guidance/resources/health-products-compliance-guidance
"FTC Health Products Guidance §III.A: ‘Competent and reliable scientific evidence’ generally consists of tests, analyses, research, or studies that have been conducted and evaluated in an objective manner by qualified persons using procedures generally accepted in the profession.",https://www.ftc.gov/business-guidance/resources/health-products-compliance-guidance
FTC Health Products Guidance §IV: Advertisers must disclose material connections between endorsers and manufacturers in health product marketing to avoid deception.,https://www.ftc.gov/business-guidance/resources/health-products-compliance-guidance
"FTC Policy Statement on Deception (1983): A representation, omission, or practice is deceptive if it is likely to mislead consumers acting reasonably under the circumstances and is material.",https://www.ftc.gov/system/files/documents/public_statements/410531/831014deceptionstmt.pdf
"16 CFR § 255.1(a): Endorsements must reflect the honest opinions, findings, beliefs, or experiences of the endorser and cannot convey a representation that would be deceptive or unsubstantiated.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.1
16 CFR § 255.1(d): Advertisers are responsible for ensuring that endorsements do not contain false or unsubstantiated representations and must disclose material connections with endorsers.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.1
"16 CFR § 255.2(b): When the advertiser lacks substantiation that the endorser’s experience represents what consumers can generally expect, the ad must clearly and conspicuously disclose the generally expected results.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.2
16 CFR § 255.3(a): Expert endorsements must be supported by adequate examination or testing and reflect the expert’s actual opinion based on their expertise.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.3
"16 CFR § 255.5: If there exists a material connection between the endorser and seller that might affect the credibility of the endorsement, such connection must be disclosed clearly and conspicuously.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.5
"FTC-FDA Memorandum of Understanding (1971): The FTC exercises primary responsibility for the regulation of the truth or falsity of advertising of foods (other than labeling), over-the-counter drugs, devices, and cosmetics.",https://www.ftc.gov/system/files/documents/public_statements/410531/1971fdaftcmou.pdf
"FTC Advertising Substantiation Policy (1984): Advertisers must have a reasonable basis for objective product claims before dissemination, generally requiring competent and reliable scientific evidence for health-related claims.",https://www.ftc.gov/public-statements/1984/03/ftc-policy-statement-advertising-substantiation
FTC ‘POM Wonderful’ Decision (2013): Health-related efficacy claims require at least one well-controlled human clinical trial to substantiate the claim.,https://www.ftc.gov/system/files/documents/cases/2013/01/130110pomopinion.pdf
FTC ‘i-Health Inc.’ Case (2020): Deceptive claims regarding vision health products without adequate clinical substantiation violate Sections 5 and 12 of the FTC Act.,https://www.ftc.gov/news-events/news/press-releases/2020/12/ftc-approves-final-order-prohibiting-i-health-making-deceptive-claims-about-eye-supplements
"FTC Act § 12 (15 U.S.C. § 52): Deceptive advertising of medical devices, including intraocular lenses, is prohibited if misleading in a material respect.",https://www.law.cornell.edu/uscode/text/15/52
FTC Enforcement Policy: The omission of material risk or side effect information in promotional claims constitutes deceptive omission.,https://www.ftc.gov/business-guidance/resources/health-products-compliance-guidance
FTC .com Disclosures Guide (2019): Digital health product ads must ensure disclosures are clear and conspicuous across all devices and formats.,https://www.ftc.gov/business-guidance/resources/com-disclosures-how-make-effective-disclosures-digital-advertising
"FTC Social Media Endorsements FAQ (2023): Endorsers of medical or health products, including IOLs, must disclose any compensation or relationship with the brand.",https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking
