Regulation (verbatim or exact statutory/CFR language),Source
"§ 315.1: This part, which shall be called the “Contact Lens Rule,” implements the Fairness to Contact Lens Consumers Act, codified at 15 U.S.C. 7601–7610.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#s-315.1
"§ 315.2: “Business hours” means the prescriber’s regular hours of business; “Direct communication” means completed communication by telephone, facsimile, or electronic mail.",https://www.law.cornell.edu/cfr/text/16/315.2
"§ 315.2: “Contact lens prescription” means a prescription, issued in accordance with State and Federal law, that contains the patient’s name, the date of examination, issue date, lens power, material or manufacturer, base curve or appropriate designation, and diameter when appropriate, and the prescriber’s name, contact information, and signature.",https://www.law.cornell.edu/cfr/text/16/315.2
"§ 315.3(a)(1): When a prescriber completes a contact lens fitting, the prescriber, whether or not requested by the patient, shall provide to the patient a copy of the contact lens prescription.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.3(a)(1)
"§ 315.3(a)(2)-(3): The prescriber shall, as directed by any person designated to act on behalf of the patient, verify the contact lens prescription by electronic or other means; and upon request, provide any person designated to act on behalf of the patient with a copy within forty (40) business hours of receipt of the request.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.3(a)
"§ 315.3(b): A prescriber may not require the purchase of contact lenses, require additional payment, or require a waiver as a condition of providing or verifying a prescription.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.3(b)
"§ 315.3(c)(1): Upon completion of a fitting, the prescriber shall request that the patient confirm receipt of the prescription using one of the methods specified or retain evidence of delivery if a digital copy was provided.",https://www.law.cornell.edu/cfr/text/16/315.3
"§ 315.3(c)(3): A prescriber must maintain for a period of not less than three years a copy of the signed confirmation, a copy of the digital prescription, or documentation of delivery.",https://www.law.cornell.edu/cfr/text/16/315.3
§ 315.4: A prescriber may require payment before releasing a prescription only if immediate payment is required for an examination that reveals no need for ophthalmic goods; proof of insurance constitutes payment.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#s-315.4
"§ 315.5(a): A seller may sell contact lenses only in accordance with a prescription presented by the patient or prescriber, or verified by direct communication.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.5(a)
"§ 315.5(b): For verification, a seller shall provide the prescriber with the patient’s full name and address, lens specifications, quantity ordered, date of request, verification date/time, and a contact person for the seller.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.5(b)
§ 315.5(c)(3): Passive verification—prescription is verified if the prescriber fails to communicate with the seller within eight business hours after receiving the request.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.5(c)(3)
"§ 315.5(d): Automated telephone verification must identify the call as a verification request, deliver the information in a slow and deliberate manner, be audible and comprehensible, and allow repetition at the prescriber’s option.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.5(d)
"§ 315.5(e)-(f): If informed a prescription is inaccurate, expired, or otherwise invalid, the seller shall not fill it; a seller may not alter a prescription.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.5(e)
"§ 315.6(a): A contact lens prescription shall expire on the date specified by State law if one year or more after issue; otherwise, the prescription shall expire not less than one year after issue, unless a shorter period is medically justified and documented.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#p-315.6(a)
"§ 315.7: No person may represent, by advertisement, sales presentation, or otherwise, that contact lenses may be obtained without a prescription.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#s-315.7
§ 315.8: A prescriber may not require a patient to sign a waiver or release as a condition of verifying or releasing a prescription or as a condition of any eye examination.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#s-315.8
§ 315.9: Any violation of this Rule shall be treated as a violation of a rule under section 18 of the FTC Act regarding unfair or deceptive acts or practices.,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-315#s-315.9
"§ 255.1(a): Endorsements must reflect the honest opinions, findings, beliefs, or experience of the endorser, and may not convey any representation that would be deceptive or could not be substantiated.",https://www.ecfr.gov/current/title-16/chapter-I/subchapter-B/part-255/section-255.1
"§ 255.2(b): If the advertiser does not have substantiation that the endorser’s experience represents what consumers will generally achieve, the advertisement must clearly and conspicuously disclose the generally expected performance in the depicted circumstances.",https://www.law.cornell.edu/cfr/text/16/255.2
"§ 255.3(a): Expert endorsements must be supported by an actual exercise of expertise, examination or testing conducted by the expert, and must compare products only on the basis of such expertise.",https://www.law.cornell.edu/cfr/text/16/255.3
§ 255.4: Organizational endorsements shall be reached by a process adequate to ensure that the endorsement fairly represents the collective judgment of the organization.,https://www.law.cornell.edu/cfr/text/16/255.4
