Verbatim Marketing Claim,Reference
"20/20 Near, Intermediate, and Distance Vision is now possible",Clareon® PanOptix® Trifocal Hydrophobic Acrylic IOL Model CNWTT0 2021 Directions for Use.
The latest advancements in lens technology enable the Clareon® PanOptix® IOL to deliver a full range of vision and exceptional clarity.,Clareon® PanOptix® Trifocal Hydrophobic Acrylic IOL Model CNWTT0 2021 Directions for Use.
ENLIGHTEN® Optical Technology—a proprietary design that optimizes intermediate vision without compromising exceptional near and distance vision.,"Alcon data on file, 2025"
"Optimized light energy distribution — 88% total light utilization at a 3 mm pupil size (Light allocation: 50% distance, 25% intermediate, 25% near).","Alcon data on file, 2015"
Reduces dependence on pupil size with a 4.5 mm diffractive zone.,"Alcon Data on File, 2014
Alcon Data on File, 2016"
Patients love their results with the Clareon® PanOptix® IOL.,Clareon® PanOptix® Trifocal Hydrophobic Acrylic IOL Model CNWTT0 2021 Directions for Use.
Full Range of Vision and Exceptional Clarity Without Glasses.,"Lehmann, R., Maxwell, A., Lubeck, DM, Fong, R., Walters, TR, Fakadej, A. Effectiveness and Safety of the Clareon Monofocal Intraocular Lens: Outcomes from a 12-Month Single-Arm Clinical Study in a Large Sample. Clin Ophthalmol. 2021;15:1647-1657. Published 2021 Apr 20."
"The Clareon® PanOptix® lens mitigates the effects of presbyopia by providing improved intermediate and near visual acuity, while maintaining comparable distance visual acuity with a reduced need for eyeglasses, compared to a monofocal IOL.","Carson D, Xu Z, Alexander E, Choi M, Zhao Z, Hong X. Optical bench performance of 3 trifocal intraocular lenses. J Cataract Refract Surg. 2016;42(9):1361-1367."
More comfortable intermediate vision at 60 cm.,"Kohnen T, Herzog M, Hemkeppler E, et al. Visual Performance of a Quadrifocal (Trifocal) Intraocular Lens Following Removal of the Crystalline Lens. Am J Ophthalmol. 2017;184:52-62."
A continuous range of vision from distance to near up to 33 cm.,"Kohnen T, Herzog M, Hemkeppler E, et al. Visual Performance of a Quadrifocal (Trifocal) Intraocular Lens Following Removal of the Crystalline Lens. Am J Ophthalmol. 2017;184:52-62."
